id,% массы <Адгезионная добавка>,% массы <Базовый битум>,% массы <Пластификатор>,% массы <Полимер>,% массы <Сшивающая добавка>,Исходная игла при 25С <Базовый битум>,Адгезионная добавка,Пластификатор,Полимер,Базовая пенетрация для расчёта пластификатора,Расчёт рецептуры на глубину проникания иглы при 25,"Глубина  проникания иглы при 0 °С, [мм-1]","Глубина  проникания иглы при 25 °С, [мм-1]","Растяжимость  при температуре 0 °С, [см]","Температура размягчения, [°С]","Эластичность при 0 °С, [%]"
25,0.0,90.0,6.3,3.6,0.1,75,4,10,0,138,75,30.0,65.0,26.0,73.0,70.0
26,0.0,89.3,7.0,3.6,0.1,75,4,10,0,138,75,32.0,78.0,22.0,67.0,71.0
27,0.0,89.3,7.0,3.6,0.1,75,4,12,0,138,75,40.0,91.0,35.0,72.0,77.0
28,0.0,90.0,6.3,3.6,0.1,75,4,12,0,138,75,38.0,84.0,23.0,71.0,74.0
29,0.0,89.3,7.0,3.6,0.1,75,4,13,0,138,75,32.0,76.0,25.0,62.0,71.0
30,0.0,89.3,7.0,3.6,0.1,75,4,19,0,138,75,32.0,82.0,28.0,73.0,70.0
31,0.0,88.3,8.0,3.6,0.1,75,4,19,0,138,75,32.0,78.0,22.0,73.0,71.0
32,0.0,93.8,2.5,3.6,0.1,75,4,14,0,138,75,34.0,80.0,36.0,71.0,76.0
33,0.0,93.3,3.0,3.6,0.1,75,4,14,0,105,75,38.0,87.0,34.0,66.0,77.0
34,0.0,93.3,3.0,3.6,0.1,75,4,15,0,105,75,38.0,89.0,39.0,68.0,81.0
35,0.0,93.6,2.2,4.1,0.1,75,4,10,0,97,75,23.0,52.0,16.0,80.0,67.0
36,0.0,93.95,2.2,3.75,0.1,75,4,10,0,97,75,25.0,55.0,12.0,76.0,70.0
37,0.35,78.75,17.0,3.8,0.1,75,1,10,0,245,75,55.0,155.0,56.0,71.0,89.0
39,0.3,91.49,4.4,3.7,0.11,76,1,11,0,120,75,30.0,58.0,12.0,77.0,66.0
41,0.0,94.3,2.0,3.6,0.1,75,4,9,0,95,75,26.0,55.0,12.0,78.0,67.0
42,0.0,92.22,5.0,2.7,0.08,75,4,9,0,125,75,30.0,70.0,20.0,59.0,92.0
43,0.0,89.95,6.2,3.75,0.1,73,4,16,1,139,75,34.0,81.0,44.0,77.0,75.0
44,0.3,89.329,6.5,3.75,0.121,72,0,10,1,102,75,35.0,80.0,37.0,76.0,73.0
45,0.3,90.242,5.6,3.75,0.108,78,2,16,0,134,75,36.0,73.0,45.0,70.0,73.0
46,0.3,88.742,7.1,3.75,0.108,66,2,10,1,134,75,30.0,71.0,26.7,76.0,75.0
48,0.3,89.142,6.7,3.75,0.108,70,0,16,1,137,75,33.0,74.0,27.0,73.0,77.0
49,0.3,89.6,6.3,3.7,0.1,74,3,16,0,137,75,34.0,76.0,37.0,77.0,74.0
52,0.3,88.743,7.099,3.75,0.108,71,3,16,1,142,75,32.0,72.0,28.0,74.0,94.0
53,0.294,92.526,3.557,3.533,0.09,73,0,16,1,125,75,32.0,68.0,21.0,74.0,71.0
54,0.303,90.607,5.348,3.633,0.109,77,0,16,0,130,75,34.0,73.0,20.0,75.0,72.0
55,0.0,91.512,4.864,3.524,0.1,86,4,17,1,135,75,32.0,76.0,27.0,75.0,73.0
56,0.0,92.216,4.093,3.591,0.1,92,4,16,1,133,75,32.0,74.0,20.0,71.0,75.0
57,0.0,91.542,4.806,3.552,0.1,82,4,16,0,130,75,33.0,77.0,17.0,73.0,70.0
60,0.0,92.052,4.299,3.549,0.1,87,4,16,0,130,75,32.0,75.0,28.0,79.0,78.0
61,0.0,90.75,5.6,3.55,0.1,81,4,10,2,137,75,33.0,76.0,25.0,70.0,72.0
62,0.3,90.613,5.497,3.548,0.042,80,0,9,0,135,75,34.0,75.0,28.0,70.0,72.0
63,0.0,95.151,1.2,3.549,0.1,129,4,9,1,141,75,32.0,90.0,37.0,77.0,81.0
64,0.0,90.201,6.099,3.6,0.1,80,4,9,0,140,75,32.0,84.0,49.0,77.0,80.0
65,0.0,90.152,6.199,3.549,0.1,79,4,9,0,141,75,32.0,83.0,45.0,76.0,77.0
66,0.0,90.0,6.4,3.5,0.1,80,4,10,1,144,75,33.0,78.0,39.0,69.0,74.0
71,0.0,89.951,6.399,3.55,0.1,73,4,9,0,115,75,40.0,73.0,57.0,77.0,87.0
