,% массы <Адгезионная добавка>,% массы <Базовый битум>,% массы <Пластификатор>,% массы <Полимер>,% массы <Сшивающая добавка>,Исходная игла при 25С <Базовый битум>,Адгезионная добавка,Пластификатор,Полимер,Базовая пенетрация для расчёта пластификатора,Расчёт рецептуры на глубину проникания иглы при 25,"Температура размягчения, [°С]"
56,0.3,89.14199999999998,6.7,3.75,0.108,70.0,0.0,16.0,1.0,137.0,75.0,73.0
57,0.3,89.642,6.2,3.75,0.108,71.99999999999999,2.0,16.0,1.0,134.0,75.0,72.0
58,0.3,90.242,5.6,3.75,0.108,78.0,2.0,16.0,0.0,134.0,75.0,70.0
59,0.0,93.3,2.9999999999999996,3.6,0.1,75.0,4.0,15.0,0.0,105.0,75.0,68.0
60,0.0,93.3,2.9999999999999996,3.6,0.1,75.0,4.0,13.999999999999998,0.0,105.0,75.0,66.0
61,0.0,93.8,2.5000000000000004,3.6,0.1,75.0,4.0,13.999999999999998,0.0,138.0,75.0,71.0
62,0.0,89.3,7.0,3.6,0.1,75.0,4.0,13.0,0.0,138.0,75.0,62.0
63,0.0,89.3,7.0,3.6,0.1,75.0,4.0,12.0,0.0,138.0,75.0,72.0
64,0.0,90.0,6.3,3.6,0.1,75.0,4.0,12.0,0.0,138.0,75.0,71.0
65,0.0,89.59,6.6,3.7,0.11,101.0,4.0,11.0,0.0,141.0,110.0,76.8
66,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,11.0,1.0,138.0,75.0,72.8
67,0.0,97.56,0.2,2.2,0.04,88.00000000000001,4.0,11.0,1.0,90.0,75.0,63.0
68,0.3,91.49,4.4,3.7,0.11,76.0,1.0,11.0,0.0,120.0,75.0,77.0
69,0.35,78.75,17.0,3.7999999999999994,0.1,75.0,1.0,10.0,0.0,244.99999999999997,75.0,71.0
70,0.0,89.3,7.0,3.6,0.1,75.0,4.0,10.0,0.0,138.0,75.0,67.0
71,0.3,88.742,7.1,3.75,0.108,66.0,2.0,10.0,1.0,134.0,75.0,76.0
72,0.3,89.329,6.5,3.75,0.12099999999999998,71.99999999999999,0.0,10.0,1.0,102.0,75.0,76.0
73,0.0,93.60000000000001,2.2,4.1,0.1,75.0,4.0,10.0,0.0,97.0,75.0,80.0
74,0.0,93.94999999999999,2.2,3.75,0.1,75.0,4.0,10.0,0.0,97.0,75.0,76.0
75,0.0,90.0,6.3,3.6,0.1,75.0,4.0,10.0,0.0,138.0,75.0,73.0
76,0.3,89.742,6.099999999999999,3.75,0.108,83.0,2.0,10.0,1.0,139.0,75.0,73.0
77,0.3,88.875,7.0,3.717,0.108,69.0,2.0,10.0,0.0,139.0,75.0,71.0
78,0.0,89.85,6.3,3.75,0.1,70.0,4.0,10.0,1.0,139.0,75.0,77.0
79,0.3,89.55799999999999,6.4,3.7,0.042,75.0,2.0,10.0,1.0,139.0,75.0,73.0
80,0.0,90.75,5.6,3.55,0.1,81.0,4.0,10.0,2.0,137.0,75.0,70.0
81,0.0,90.0,6.4,3.5,0.1,80.0,4.0,10.0,1.0,144.0,75.0,69.0
82,0.3,90.542,5.3,3.75,0.108,71.99999999999999,2.0,10.0,1.0,132.0,75.0,75.0
83,0.3,89.942,5.900000000000001,3.75,0.108,73.0,2.0,10.0,1.0,103.00000000000001,75.0,75.0
84,0.3,89.642,6.2,3.75,0.108,67.0,2.0,10.0,1.0,139.0,75.0,72.0
85,0.0,90.0,6.3,3.6,0.1,75.0,4.0,9.0,0.0,138.0,75.0,75.0
86,0.3,90.613,5.497,3.548,0.042,80.0,0.0,9.0,0.0,135.0,75.0,70.0
87,0.0,90.201,6.099,3.6,0.1,80.0,4.0,9.0,0.0,140.0,75.0,77.0
88,0.0,95.151,1.2,3.549,0.1,129.0,4.0,9.0,1.0,141.0,75.0,77.0
89,0.0,90.45,5.999999999999999,3.45,0.1,74.0,4.0,9.0,0.0,142.0,75.0,73.0
90,0.0,89.951,6.399,3.55,0.1,73.0,4.0,9.0,0.0,114.99999999999999,75.0,77.0
91,0.0,94.29999999999998,2.0,3.6,0.1,75.0,4.0,9.0,0.0,95.0,75.0,78.0
92,0.0,92.22,5.0,2.7,0.08,75.0,4.0,9.0,0.0,125.0,75.0,59.0
93,0.0,90.152,6.199,3.549,0.1,79.0,4.0,9.0,0.0,141.0,75.0,76.0
94,0.0,87.99999999999999,8.3,3.6,0.1,75.0,4.0,8.0,0.0,138.0,75.0,71.0
95,0.0,90.0,6.3,3.6,0.1,75.0,4.0,8.0,0.0,138.0,75.0,71.0
96,0.0,90.0,6.3,3.6,0.1,75.0,4.0,6.999999999999999,0.0,138.0,75.0,74.0
97,0.0,87.99999999999999,8.3,3.6,0.1,75.0,4.0,6.999999999999999,0.0,138.0,75.0,73.0
98,0.0,93.3,2.9999999999999996,3.6,0.1,75.0,4.0,6.0,0.0,105.0,75.0,70.0
99,0.0,90.0,6.3,3.6,0.1,75.0,4.0,6.0,0.0,138.0,75.0,62.0
100,0.0,93.3,2.9999999999999996,3.6,0.1,75.0,4.0,5.0,0.0,138.0,75.0,69.0
101,0.0,90.0,6.3,3.6,0.1,75.0,4.0,5.0,0.0,138.0,75.0,65.0
102,0.0,90.0,6.3,3.6,0.1,75.0,4.0,4.0,0.0,138.0,75.0,69.0
103,0.0,87.99999999999999,8.3,3.6,0.1,75.0,4.0,3.0,0.0,138.0,75.0,71.0
104,0.0,90.0,6.3,3.6,0.1,75.0,4.0,3.0,0.0,138.0,75.0,74.0
105,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,2.0,1.0,138.0,75.0,73.0
106,0.3,90.10000000000001,5.900000000000001,3.6,0.1,79.0,0.0,1.0,1.0,138.0,75.0,76.0
107,0.0,90.4,5.900000000000001,3.6,0.1,79.0,4.0,0.0,0.0,138.0,75.0,74.4
